Ticker,Company,Market Cap,Market Cap Currency,Market Cap Numeric,Magnitude,Shares in Issue,Status,Primary Source,Snapshot Date,Notes
80M,80 Mile,£44.75m,GBP,44750000.0,m,4.86b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=80-Mile&shareprice=80M,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AFRK,Afarak Group Plc,£58.55m,GBP,58550000.0,m,261.40m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Afarak-Group-Plc&shareprice=AFRK,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AFP,African Pioneer PLC,£5.37m,GBP,5370000.0,m,523.86m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=African-Pioneer-PLC&shareprice=AFP,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ALBA,Alba Mineral Resources,£4.87m,GBP,4870000.0,m,27.81b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Alba-Mineral-Resources&shareprice=ALBA,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
UFO,Alien Metals,£16.25m,GBP,16250000.0,m,11.61b,found_via_non_constituent_search,https://www.lse.co.uk/SharePrice.html?share=Alien-Metals&shareprice=UFO,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ALK,Alkemy Capital Investments,£35.67m,GBP,35670000.0,m,10.98m,found_via_non_constituent_search,https://www.lse.co.uk/SharePrice.html?share=Alkemy-Capital&shareprice=ALK,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
REE,Altona Rare Earths,£12.92m,GBP,12920000.0,m,445.67m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Altona-Rare-Earths&shareprice=REE,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ALBH,Aluminium Bahrain B.s.c. Gdr,$3.43b,USD,3430000000.0,b,283.48m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Aluminium-Bahrain-Bsc-Gdr&shareprice=ALBH,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ATM,Andrada Mining,£87.96m,GBP,87960000.0,m,2.20b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Andrada-Mining&shareprice=ATM,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AYM,Anglesey Mining,£2.95m,GBP,2950000.0,m,64.84m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Anglesey-Mining&shareprice=AYM,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AAL,Anglo American,£41.77b,GBP,41770000000.0,b,1.07b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Anglo-American&shareprice=AAL,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AAZ,Anglo Asian Mining PLC,£337.31m,GBP,337310000.0,m,114.34m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Anglo-Asian-Mining-PLC&shareprice=AAZ,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ANTO,Antofagasta,£38.98b,GBP,38980000000.0,b,985.86m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Antofagasta&shareprice=ANTO,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
70GD,Antofagasta Plc 5% Cum Prf #1,-,,,,0.00,not_applicable_preference_share_no_market_cap,https://www.lse.co.uk/SharePrice.html?share=Antofagasta-Plc-5-Cum-Prf-1&shareprice=70GD,2026-05-12,No market cap available from LSE/LSE.co.uk page; needs identifier-specific fallback.
ARK,Arkle Res,£9.13m,GBP,9130000.0,m,1.52b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Arkle-Res&shareprice=ARK,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ARS,Asiamet Resources Limited,£51.76m,GBP,51760000.0,m,3.39b,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Asiamet-Resources-Limited&shareprice=ARS,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ATYM,Atalaya Mining,£1.30b,GBP,1300000000.0,b,154.12m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Atalaya-Mining&shareprice=ATYM,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ATN,Aterian Plc,£4.11m,GBP,4110000.0000000005,m,17.12m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Aterian-Plc&shareprice=ATN,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
ALL,Atlantic Lithium,£130.24m,GBP,130240000.00000001,m,801.49m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Atlantic-Lithium&shareprice=ALL,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
AMG,Atlas Metals Group PLC,£3.33m,GBP,3330000.0,m,39.20m,found_lse_share_page,https://www.lse.co.uk/SharePrice.html?share=Atlas-Metals-Group-PLC&shareprice=AMG,2026-05-12,Verify via field-owned fallback; use computed price × shares where source cap conflicts.
