ticker,company,announcement_date,announcement_title,source_url,technical_evidence_status,technical_field_count,mineralogy,metallurgical_testwork,recovery_pct,concentrate_grade_pct,resource_category,study_stage,treo_grade_pct,resource_tonnage_mt,contained_treo_tonnes,contained_ndpr_tonnes,ndpr_pct_of_treo,impurity_profile,thorium_ppm,uranium_ppm,capex,opex,processing_depth,source_name,confidence,notes,last_verified
80M,80 Mile,11th May 2026 7:00 am,Drilling Approved for Disko Exploration Programme,https://www.lse.co.uk/rns/80M/drilling-approved-for-disko-exploration-programme-2reicksde7xkxc3.html,structured_fields_extracted,4,,True,,,Reserve,PEA,,117.0,,,,,,,,,,London South East RNS mirror,Medium,RNS metallurgical testwork found; RNS resource tonnage found; RNS resource confidence found: Reserve; RNS study stage found: PEA,2026-05-17
80M,80 Mile,27th Mar 2026 10:52 am,Investor Presentation,https://www.lse.co.uk/rns/80M/investor-presentation-uimv1al776105a5.html,structured_fields_extracted,3,,,,,Exploration target,DFS,,117.0,,,,,,,,,,London South East RNS mirror,Medium,RNS resource tonnage found; RNS resource confidence found: Exploration target; RNS study stage found: DFS,2026-05-17
80M,80 Mile,27th Jan 2026 9:38 am,Investor Presentation,https://www.lse.co.uk/rns/80M/investor-presentation-mjecxsktllkesit.html,structured_fields_extracted,2,,,,,Exploration target,,,117.0,,,,,,,,,,London South East RNS mirror,Medium,RNS resource tonnage found; RNS resource confidence found: Exploration target,2026-05-17
80M,80 Mile,30th Sep 2025 12:56 pm,Interim Results,https://www.lse.co.uk/rns/80M/interim-results-4qk4xl61w7i2290.html,structured_fields_extracted,1,,,,,,DFS,,,,,,,,,,,,London South East RNS mirror,Medium,RNS study stage found: DFS,2026-05-17
80M,80 Mile,30th Jun 2025 4:15 pm,Final Results for the year ended 31 December 2024,https://www.lse.co.uk/rns/80M/final-results-for-the-year-ended-31-december-2024-j6mzzmignm3uobt.html,structured_fields_extracted,3,,,,,Reserve,DFS,,29.7,,,,,,,,,,London South East RNS mirror,Medium,RNS resource tonnage found; RNS resource confidence found: Reserve; RNS study stage found: DFS,2026-05-17
AFRK,Afarak Group Plc,24th Oct 2025 8:00 am,AFARAK GROUP INVESTS IN PRODUCTION OF METALLURGICAL GRADE CHROME ORE CONCENTRATE,https://www.lse.co.uk/rns/AFRK/afarak-group-invests-in-production-of-metallurgical-grade-chrome-ore-concentrate-8b6igp3enflwrt0.html,structured_fields_extracted,3,,True,,,Proven,,,,,,,,,,,,concentrate route,London South East RNS mirror,Medium,RNS metallurgical testwork found; RNS resource confidence found: Proven,2026-05-17
AFRK,Afarak Group Plc,27th Jun 2025 7:00 am,AFARAK GROUP SELLS ZEERUST MINE ASSETS,https://www.lse.co.uk/rns/AFRK/afarak-group-sells-zeerust-mine-assets-ojbll9wd3h2b5ce.html,rns_or_document_found_needs_review,0,,,,,,,,,,,,,,,,,,London South East RNS mirror,Medium,Technical/project RNS found; structured fields require analyst review,2026-05-17
AFRK,Afarak Group Plc,7th Oct 2024 3:31 pm,AFARAK GROUP REPORTS A FATALITY AT ZEERUST CHROME MINE,https://www.lse.co.uk/rns/AFRK/afarak-group-reports-a-fatality-at-zeerust-chrome-mine-r2oan4qntijkiwg.html,rns_or_document_found_needs_review,0,,,,,,,,,,,,,,,,,,London South East RNS mirror,Medium,Technical/project RNS found; structured fields require analyst review,2026-05-17
AFP,African Pioneer PLC,30th Apr 2026 11:36 am,Final Results for period to 31 December 2025,https://www.lse.co.uk/rns/AFP/final-results-for-period-to-31-december-2025-ler80ltrx57pxhv.html,structured_fields_extracted,4,,,,,Reserve,DFS,,5.7,,,,,,,,,metals/alloys/recycling,London South East RNS mirror,Medium,RNS resource tonnage found; RNS resource confidence found: Reserve; RNS study stage found: DFS,2026-05-17
AFP,African Pioneer PLC,30th Sep 2025 11:44 am,Interim Results for Six Months Ended 30 June 2025,https://www.lse.co.uk/rns/AFP/interim-results-for-six-months-ended-30-june-2025-snf1abp62ktgirc.html,structured_fields_extracted,5,,True,,,Indicated,PEA,,5.7,,,,,,,,,metals/alloys/recycling,London South East RNS mirror,Medium,RNS metallurgical testwork found; RNS resource tonnage found; RNS resource confidence found: Indicated; RNS study stage found: PEA,2026-05-17
AFP,African Pioneer PLC,25th Jun 2025 7:00 am,Ongombo Copper-Gold Project Mining Licence Issued,https://www.lse.co.uk/rns/AFP/ongombo-copper-gold-project-mining-licence-issued-mt3uxc3l758xkmd.html,structured_fields_extracted,1,,,,,,PEA,,,,,,,,,,,,London South East RNS mirror,Medium,RNS study stage found: PEA,2026-05-17
